team,elo,wins_last5,draws_last5,loss_last5,gf_avg_last5,ga_avg_last5,gd_avg_last5,last_seen_date
Spain,2171.0,5.0,0.0,0.0,3.8,0.0,3.8,2025-11-18
Argentina,2109.0,3.0,1.0,1.0,1.2,0.4,0.7999999999999999,2025-11-14
France,2067.0,4.0,1.0,0.0,2.6,0.6,2.0,2025-11-16
Portugal,2041.0,3.0,2.0,0.0,2.8,1.4,1.4,2025-11-16
England,2019.0,5.0,0.0,0.0,3.4,0.0,3.4,2025-11-16
Colombia,1998.0,3.0,2.0,0.0,2.8,0.8,2.0,2025-11-18
Brazil,1979.0,3.0,0.0,2.0,1.6,0.8,0.8,2025-11-18
Netherlands,1975.0,3.0,2.0,0.0,2.6,0.8,1.8,2025-11-17
Germany,1950.0,2.0,0.0,3.0,1.4,1.2,0.1999999999999999,2025-11-17
Italy,1943.0,4.0,0.0,1.0,3.2,1.6,1.6,2025-11-16
Ecuador,1934.0,1.0,4.0,0.0,0.4,0.2,0.2,2025-11-13
Croatia,1917.0,4.0,0.0,1.0,3.2,0.4,2.8000000000000003,2025-11-17
Uruguay,1907.0,3.0,1.0,1.0,1.4,0.6,0.7999999999999999,2025-11-15
Switzerland,1897.0,4.0,1.0,0.0,2.6,0.2,2.4,2025-11-18
Turkey,1880.0,4.0,0.0,1.0,3.0,2.0,1.0,2025-11-18
Japan,1878.0,3.0,2.0,0.0,2.6,0.8,1.8,2025-11-18
Norway,1870.0,5.0,0.0,0.0,2.8,0.2,2.6,2025-11-16
Denmark,1864.0,3.0,2.0,0.0,2.8,0.6,2.2,2025-11-18
Austria,1855.0,2.0,1.0,2.0,0.8,1.0,-0.1999999999999999,2025-11-15
Belgium,1849.0,4.0,1.0,0.0,4.2,1.2,3.0,2025-11-18
Mexico,1835.0,1.0,2.0,2.0,0.6,1.4,-0.7999999999999999,2026-01-25
Paraguay,1833.0,2.0,2.0,1.0,1.0,0.6,0.4,2025-11-18
Morocco,1830.0,3.0,2.0,0.0,1.4,0.2,1.2,2026-01-18
Serbia,1806.0,2.0,0.0,3.0,0.8,1.8,-1.0,2025-11-16
Senegal,1803.0,5.0,0.0,0.0,2.2,0.2,2.0,2026-01-18
Canada,1802.0,2.0,2.0,1.0,0.8,0.2,0.6000000000000001,2025-11-18
Russia,1793.0,3.0,2.0,0.0,2.0,0.6,1.4,2025-11-15
Scotland,1790.0,3.0,1.0,1.0,1.8,1.0,0.8,2025-11-18
Australia,1774.0,3.0,1.0,1.0,1.8,0.8,1.0,2025-11-18
Ukraine,1773.0,2.0,1.0,2.0,1.6,2.2,-0.6000000000000001,2025-11-16
Greece,1761.0,2.0,0.0,3.0,2.0,2.4,-0.3999999999999999,2025-11-18
Iran,1754.0,2.0,1.0,2.0,1.6,1.4,0.2000000000000001,2025-11-18
Panama,1742.0,1.0,4.0,0.0,1.2,1.0,0.1999999999999999,2026-01-22
Uzbekistan,1735.0,3.0,1.0,1.0,2.0,0.8,1.2,2025-11-18
Chile,1731.0,2.0,1.0,2.0,0.8,1.2,-0.3999999999999999,2025-11-18
Algeria,1726.0,4.0,1.0,0.0,2.6,0.4,2.2,2026-01-10
Wales,1724.0,1.0,0.0,4.0,1.2,2.4,-1.2,2025-11-15
Venezuela,1715.0,1.0,0.0,4.0,0.8,2.4,-1.6,2025-11-18
Kosovo,1714.0,3.0,1.0,1.0,1.0,0.8,0.1999999999999999,2025-11-18
Peru,1698.0,0.0,2.0,3.0,0.4,1.4,-1.0,2025-11-18
Hungary,1695.0,2.0,1.0,2.0,1.6,1.6,0.0,2025-11-13
Slovenia,1695.0,0.0,3.0,2.0,0.4,1.4,-1.0,2025-11-18
Jordan,1687.0,3.0,0.0,2.0,2.2,1.4,0.8000000000000003,2025-12-18
Poland,1682.0,2.0,2.0,1.0,1.6,1.0,0.6000000000000001,2025-11-17
Bolivia,1675.0,2.0,1.0,2.0,0.6,1.4,-0.7999999999999999,2026-01-25
Slovakia,1665.0,3.0,0.0,2.0,1.2,1.0,0.1999999999999999,2025-11-17
Sweden,1660.0,0.0,1.0,4.0,0.6,2.2,-1.6,2025-11-18
Georgia,1650.0,1.0,0.0,4.0,1.2,2.6,-1.4,2025-11-18
Romania,1650.0,2.0,1.0,2.0,1.8,1.6,0.1999999999999999,2025-10-12
Tunisia,1641.0,2.0,2.0,1.0,2.2,1.4,0.8000000000000003,2026-01-03
Albania,1631.0,5.0,0.0,0.0,1.6,0.4,1.2000000000000002,2025-11-16
Israel,1629.0,2.0,0.0,3.0,1.6,2.8,-1.1999999999999995,2025-11-13
Nigeria,1627.0,4.0,1.0,0.0,2.4,0.6,1.7999999999999998,2026-01-17
Mali,1612.0,1.0,4.0,0.0,1.2,1.0,0.1999999999999999,2026-01-09
Iraq,1596.0,4.0,0.0,1.0,1.2,0.6,0.6,2025-12-12
Egypt,1591.0,2.0,1.0,2.0,1.0,1.2,-0.1999999999999999,2026-01-17
Honduras,1585.0,2.0,2.0,1.0,1.2,0.4,0.7999999999999999,2025-11-13
Angola,1566.0,1.0,3.0,1.0,1.2,1.4,-0.1999999999999999,2025-12-29
Iceland,1562.0,2.0,1.0,2.0,2.6,1.8,0.8,2025-11-16
Cameroon,1559.0,4.0,1.0,0.0,1.6,0.2,1.4,2026-01-09
Finland,1556.0,1.0,0.0,4.0,0.6,2.0,-1.4,2025-11-17
Haiti,1542.0,2.0,1.0,2.0,1.8,1.6,0.1999999999999999,2025-11-18
Guatemala,1528.0,1.0,3.0,1.0,1.6,1.6,0.0,2025-11-18
Jamaica,1527.0,2.0,1.0,2.0,1.8,1.2,0.6000000000000001,2026-01-18
Qatar,1519.0,0.0,2.0,3.0,0.6,1.6,-1.0,2025-12-07
Montenegro,1516.0,3.0,1.0,1.0,1.8,1.8,0.0,2025-11-17
Ghana,1499.0,3.0,1.0,1.0,1.4,0.6,0.7999999999999999,2025-11-14
Belarus,1496.0,0.0,1.0,4.0,0.8,3.4,-2.6,2025-11-18
Oman,1492.0,1.0,4.0,0.0,0.6,0.2,0.3999999999999999,2025-12-08
Guinea,1485.0,3.0,2.0,0.0,1.8,0.6,1.2000000000000002,2025-11-18
Curaçao,1467.0,3.0,1.0,1.0,2.8,1.0,1.7999999999999998,2025-11-18
Gabon,1467.0,3.0,0.0,2.0,2.2,1.6,0.6000000000000001,2025-12-28
Palestine,1461.0,1.0,3.0,1.0,0.8,0.8,0.0,2025-12-07
Luxembourg,1455.0,0.0,0.0,5.0,0.2,2.2,-2.0,2025-11-14
Bulgaria,1452.0,0.0,0.0,5.0,0.2,3.6,-3.4,2025-11-18
Syria,1449.0,3.0,2.0,0.0,2.0,0.2,1.8,2025-12-11
Bahrain,1448.0,1.0,0.0,4.0,0.8,2.0,-1.2,2025-12-09
Suriname,1441.0,1.0,3.0,1.0,0.6,0.8,-0.2,2025-11-18
Benin,1436.0,3.0,0.0,2.0,1.2,1.4,-0.1999999999999999,2026-01-05
Uganda,1433.0,1.0,1.0,3.0,1.0,2.2,-1.2000000000000002,2025-12-30
Kazakhstan,1425.0,2.0,0.0,3.0,1.4,2.2,-0.8000000000000003,2025-11-15
Gambia,1424.0,3.0,1.0,1.0,3.2,1.2,2.0,2025-11-18
Armenia,1412.0,0.0,1.0,4.0,0.8,3.0,-2.2,2025-11-16
Guinea-Bissau,1411.0,1.0,0.0,4.0,0.6,1.2,-0.6,2025-10-12
Martinique,1405.0,1.0,2.0,2.0,0.6,0.8,-0.2,2025-11-15
Niger,1403.0,3.0,1.0,1.0,1.2,1.4,-0.1999999999999999,2025-11-18
Mozambique,1389.0,2.0,1.0,2.0,1.4,1.4,0.0,2026-01-05
Azerbaijan,1367.0,0.0,1.0,4.0,0.4,2.6,-2.2,2025-11-16
Zambia,1364.0,1.0,2.0,2.0,0.8,1.0,-0.1999999999999999,2025-12-29
Namibia,1363.0,1.0,0.0,4.0,0.6,1.8,-1.2000000000000002,2025-11-17
Togo,1360.0,0.0,1.0,4.0,0.4,1.6,-1.2000000000000002,2025-09-09
Comoros,1359.0,0.0,2.0,3.0,1.2,2.2,-1.0000000000000002,2025-12-29
Estonia,1359.0,0.0,1.0,4.0,0.4,2.6,-2.2,2025-11-18
Indonesia,1357.0,2.0,1.0,2.0,1.6,2.2,-0.6000000000000001,2025-10-11
Zanzibar,1357.0,2.0,2.0,1.0,1.0,0.8,0.1999999999999999,2025-01-10
Sudan,1352.0,1.0,1.0,3.0,0.6,1.8,-1.2000000000000002,2026-01-03
Zimbabwe,1352.0,1.0,0.0,4.0,0.8,1.6,-0.8,2025-12-26
Lebanon,1351.0,3.0,2.0,0.0,2.2,0.4,1.8000000000000005,2025-11-26
Thailand,1351.0,3.0,0.0,2.0,2.4,1.0,1.4,2025-11-13
Libya,1347.0,3.0,1.0,1.0,1.0,0.6,0.4,2025-11-25
Kenya,1344.0,3.0,1.0,1.0,1.8,0.8,1.0,2025-11-18
Mauritania,1341.0,1.0,2.0,2.0,0.6,1.2,-0.6,2025-11-25
Rwanda,1341.0,1.0,1.0,3.0,0.4,1.2,-0.7999999999999999,2025-10-10
Guadeloupe,1336.0,2.0,1.0,2.0,1.0,1.4,-0.3999999999999999,2025-06-24
Nicaragua,1328.0,2.0,0.0,3.0,0.6,1.6,-1.0,2025-11-18
Madagascar,1325.0,2.0,0.0,3.0,1.4,1.8,-0.4000000000000001,2025-10-12
Tanzania,1325.0,0.0,2.0,3.0,1.2,2.0,-0.8,2026-01-04
Vietnam,1321.0,4.0,0.0,1.0,2.2,1.2,1.0000000000000002,2025-11-19
Botswana,1319.0,0.0,1.0,4.0,0.6,2.2,-1.6,2025-12-27
Malaysia,1314.0,5.0,0.0,0.0,3.0,0.4,2.6,2025-11-18
Kuwait,1310.0,2.0,2.0,1.0,1.8,1.6,0.1999999999999999,2025-12-06
Cyprus,1302.0,0.0,2.0,3.0,0.8,1.8,-1.0,2025-11-18
Latvia,1295.0,0.0,2.0,3.0,0.6,2.0,-1.4,2025-11-16
Lithuania,1293.0,0.0,2.0,3.0,0.8,1.6,-0.8,2025-11-17
Tajikistan,1288.0,3.0,1.0,1.0,1.8,1.8,0.0,2025-10-14
Burundi,1268.0,2.0,1.0,2.0,1.2,0.6,0.6,2025-10-14
Kyrgyzstan,1266.0,0.0,0.0,5.0,1.0,2.2,-1.2000000000000002,2025-03-25
Guyana,1263.0,3.0,0.0,2.0,2.2,1.6,0.6000000000000001,2025-11-15
Congo,1261.0,0.0,1.0,4.0,0.4,2.6,-2.2,2025-10-14
Malta,1260.0,1.0,2.0,2.0,0.4,2.6,-2.2,2025-11-17
Liberia,1256.0,1.0,1.0,3.0,1.2,2.4,-1.2,2025-11-15
Malawi,1252.0,1.0,2.0,2.0,0.8,1.2,-0.3999999999999999,2025-11-18
Ethiopia,1250.0,1.0,0.0,4.0,1.2,2.0,-0.8,2025-10-08
Eswatini,1233.0,0.0,2.0,3.0,0.6,2.8,-2.2,2025-10-08
Cuba,1225.0,0.0,2.0,3.0,0.6,1.6,-1.0,2025-11-15
Fiji,1221.0,1.0,1.0,3.0,0.8,1.6,-0.8,2025-11-17
Turkmenistan,1217.0,2.0,0.0,3.0,1.2,2.2,-1.0000000000000002,2025-11-18
Lesotho,1215.0,1.0,2.0,2.0,0.6,1.4,-0.7999999999999999,2025-11-18
Mayotte,1209.0,4.0,0.0,1.0,2.0,0.8,1.2,2023-08-24
Philippines,1155.0,3.0,1.0,1.0,2.0,1.4,0.6000000000000001,2025-11-18
Bermuda,1151.0,1.0,0.0,4.0,0.8,2.8,-2.0,2025-11-13
Chad,1150.0,0.0,1.0,4.0,0.8,2.0,-1.2,2025-11-17
Tahiti,1147.0,4.0,0.0,1.0,1.8,0.6,1.2000000000000002,2024-11-18
Yemen,1137.0,3.0,2.0,0.0,3.6,0.2,3.4,2025-11-26
India,1123.0,1.0,2.0,2.0,1.0,1.0,0.0,2025-11-18
Grenada,1122.0,3.0,0.0,2.0,2.0,1.2,0.8,2026-01-18
Mauritius,1084.0,0.0,2.0,3.0,0.8,2.0,-1.2,2025-10-13
Eritrea,1075.0,0.0,0.0,5.0,0.4,2.2,-1.8000000000000005,2019-09-10
Andorra,1074.0,0.0,2.0,3.0,0.6,1.6,-1.0,2025-11-17
Singapore,1073.0,2.0,2.0,1.0,1.4,1.2,0.1999999999999999,2025-11-13
Belize,1056.0,2.0,0.0,3.0,0.6,1.6,-1.0,2025-06-07
Vanuatu,1056.0,2.0,1.0,2.0,1.8,1.6,0.1999999999999999,2025-11-17
Afghanistan,1055.0,0.0,1.0,4.0,0.4,1.6,-1.2000000000000002,2025-10-14
Gibraltar,1051.0,0.0,1.0,4.0,0.2,2.8,-2.6,2025-11-14
Dominica,999.0,0.0,1.0,4.0,1.0,3.6,-2.6,2025-05-11
Montserrat,971.0,2.0,0.0,3.0,0.8,1.6,-0.8,2025-06-10
Myanmar,956.0,2.0,1.0,2.0,1.0,2.4,-1.4,2025-10-14
Bangladesh,940.0,1.0,3.0,1.0,1.0,0.8,0.1999999999999999,2025-11-18
Barbados,938.0,1.0,3.0,1.0,1.4,1.6,-0.2000000000000001,2025-11-15
Aruba,917.0,1.0,1.0,3.0,1.4,3.0,-1.6,2025-11-15
Nepal,917.0,0.0,2.0,3.0,0.8,1.6,-0.8,2025-11-18
Liechtenstein,900.0,0.0,0.0,5.0,0.2,3.4,-3.2,2025-11-18
Taiwan,866.0,1.0,0.0,4.0,1.2,3.2,-2.0,2025-11-18
Bonaire,861.0,2.0,0.0,3.0,1.2,2.0,-0.8,2025-11-15
Somalia,857.0,1.0,0.0,4.0,0.4,2.0,-1.6,2025-11-26
Cambodia,850.0,0.0,1.0,4.0,1.4,2.2,-0.8000000000000003,2025-06-05
Seychelles,845.0,0.0,0.0,5.0,0.2,4.0,-3.8,2025-10-14
Maldives,841.0,0.0,0.0,5.0,0.4,3.0,-2.6,2025-11-18
Pakistan,828.0,0.0,2.0,3.0,0.2,1.4,-1.2,2025-11-18
Mongolia,805.0,1.0,0.0,4.0,0.4,1.6,-1.2000000000000002,2024-12-11
Bahamas,782.0,0.0,0.0,5.0,1.2,4.4,-3.2,2025-11-12
Tuvalu,757.0,1.0,0.0,4.0,1.0,7.2,-6.2,2023-11-27
Djibouti,752.0,0.0,2.0,3.0,0.4,2.4,-2.0,2025-11-26
Samoa,734.0,2.0,0.0,3.0,1.6,3.4,-1.7999999999999998,2024-11-15
Laos,715.0,1.0,0.0,4.0,1.0,3.4,-2.4,2025-11-19
Guam,705.0,0.0,0.0,5.0,0.4,2.2,-1.8000000000000005,2023-10-17
Brunei,655.0,1.0,0.0,4.0,0.6,3.8,-3.2,2025-11-18
Anguilla,617.0,0.0,0.0,5.0,0.0,2.2,-2.2,2025-11-12
Bhutan,614.0,0.0,1.0,4.0,0.2,2.0,-1.8,2025-11-18
Tonga,520.0,0.0,0.0,5.0,0.8,5.6,-4.8,2024-09-09
